model,preprocessing,label_scheme,subject_held_out,n_val,accuracy,balanced_accuracy,macro_f1,f1_NoPain,f1_PainArm,f1_PainHand,f1_Pain
logreg,subjectz,3class,4,36,0.5277777777777778,0.5277777777777778,0.5339506172839505,0.6666666666666666,0.4166666666666667,0.5185185185185185,
logreg,subjectz,3class,5,36,0.6944444444444444,0.6944444444444443,0.6925019425019424,0.9166666666666666,0.5454545454545454,0.6153846153846154,
logreg,subjectz,3class,6,36,0.6388888888888888,0.6388888888888888,0.6205128205128205,0.8461538461538461,0.4,0.6153846153846154,
logreg,subjectz,3class,8,36,0.6111111111111112,0.611111111111111,0.6104830917874395,0.9166666666666666,0.48,0.43478260869565216,
logreg,subjectz,3class,11,36,0.4722222222222222,0.47222222222222227,0.45555555555555555,0.6666666666666666,0.3,0.4,
logreg,subjectz,3class,12,36,0.6666666666666666,0.6666666666666666,0.6616908212560387,0.88,0.5833333333333334,0.5217391304347826,
logreg,subjectz,3class,13,36,0.6666666666666666,0.6666666666666666,0.648888888888889,0.88,0.4,0.6666666666666666,
logreg,subjectz,3class,15,36,0.4722222222222222,0.47222222222222215,0.4691787439613526,0.6666666666666666,0.2608695652173913,0.48,
logreg,subjectz,3class,16,36,0.6388888888888888,0.638888888888889,0.6164104095138577,0.8275862068965517,0.5454545454545454,0.47619047619047616,
logreg,subjectz,3class,18,36,0.5277777777777778,0.5277777777777778,0.5186649099692577,0.6666666666666666,0.45454545454545453,0.43478260869565216,
logreg,subjectz,3class,21,36,0.5,0.5,0.4969501781095984,0.6086956521739131,0.36363636363636365,0.5185185185185185,
logreg,subjectz,3class,22,36,0.4444444444444444,0.4444444444444444,0.4329004329004329,0.5714285714285714,0.36363636363636365,0.36363636363636365,
logreg,subjectz,3class,24,36,0.6666666666666666,0.6666666666666666,0.6622073578595318,0.7692307692307693,0.6956521739130435,0.5217391304347826,
logreg,subjectz,3class,25,36,0.4722222222222222,0.47222222222222227,0.46736596736596736,0.5,0.5384615384615384,0.36363636363636365,
logreg,subjectz,3class,27,36,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.75,0.3333333333333333,0.5,
logreg,subjectz,3class,28,36,0.5833333333333334,0.5833333333333334,0.5771916971916973,0.6153846153846154,0.47619047619047616,0.64,
logreg,subjectz,3class,29,36,0.5833333333333334,0.5833333333333334,0.5911033411033412,0.8181818181818182,0.5384615384615384,0.4166666666666667,
logreg,subjectz,3class,30,36,0.5,0.5,0.4981818181818182,0.72,0.32,0.45454545454545453,
logreg,subjectz,3class,34,36,0.6944444444444444,0.6944444444444445,0.6839549339549339,0.9230769230769231,0.5454545454545454,0.5833333333333334,
logreg,subjectz,3class,36,36,0.3888888888888889,0.3888888888888889,0.3908313908313908,0.45454545454545453,0.3333333333333333,0.38461538461538464,
logreg,subjectz,3class,37,36,0.5277777777777778,0.5277777777777778,0.5307729468599034,0.6956521739130435,0.48,0.4166666666666667,
logreg,subjectz,3class,41,36,0.5555555555555556,0.5555555555555557,0.555024154589372,0.56,0.5217391304347826,0.5833333333333334,
logreg,subjectz,3class,42,36,0.75,0.75,0.7404408457040036,0.9230769230769231,0.6666666666666666,0.631578947368421,
logreg,subjectz,3class,43,36,0.6666666666666666,0.6666666666666666,0.6628709454796411,0.8695652173913043,0.6428571428571429,0.47619047619047616,
logreg,subjectz,3class,44,36,0.6666666666666666,0.6666666666666666,0.6744290192566055,0.8571428571428571,0.6206896551724138,0.5454545454545454,
logreg,subjectz,3class,45,36,0.6388888888888888,0.6388888888888888,0.6255411255411255,0.7857142857142857,0.45454545454545453,0.6363636363636364,
logreg,subjectz,3class,46,36,0.25,0.25,0.25028985507246376,0.25,0.2608695652173913,0.24,
logreg,subjectz,3class,47,36,0.6111111111111112,0.611111111111111,0.6112331039867271,0.6956521739130435,0.5925925925925926,0.5454545454545454,
logreg,subjectz,3class,48,36,0.6666666666666666,0.6666666666666666,0.6496296296296297,0.8888888888888888,0.5,0.56,
logreg,subjectz,3class,49,36,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.5,0.4166666666666667,
logreg,subjectz,3class,52,36,0.6388888888888888,0.638888888888889,0.6373348873348874,0.6923076923076923,0.6363636363636364,0.5833333333333334,
logreg,subjectz,3class,53,36,0.5555555555555556,0.5555555555555556,0.5515151515151515,0.72,0.48,0.45454545454545453,
